year,leaid,lea_name,state_name,city_location,phone,necta,supervisory_union_number,agency_type,enrollment,spec_ed_students,english_language_learners,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_fte,In-person?,In-person grades,Hybrid?,Hybrid grades,Fully Remote?,Ever in-person?,Ever in-person grades,Update date for In-person data,Source for In-person data (links/notes)?,Metrics for in-person,School cases,Number of Hampden County population in staff,Number of Hampden County population in students,Number of Hispanic or Latino,Number of Black or African American,"Quality of ventilation of the building (not sure how to measure that... age of the building, updates...)",,,instructional_aides_fte,coordinators_fte,guidance_counselors_elem_fte,guidance_counselors_sec_fte,guidance_counselors_total_fte,librarian_specialists_fte,librarian_support_staff_fte,lea_administrators_fte,lea_admin_support_staff_fte,school_administrators_fte,school_admin_support_staff_fte,support_staff_students_fte,support_staff_other_fte,staff_total_fte,lea_staff_total_fte,other_staff_fte,school_staff_total_fte,school_counselors_fte,est_population_total,est_population_5_17,est_population_5_17_poverty,est_population_5_17_poverty_pct,est_population_5_17_pct
2018,2501780,Adams-Cheshire,Massachusetts,Cheshire,(413)743-2939,76600,.,Regular local school district,1161,279,7,2,4,41,31,0,79,,,,,,,,,,,,,,,,,,,69,0,0,1,1,0,1,2,0,7,21,19,5,205,2,5,117.5,0,11945,1524,214,0.14042,0.127585
2018,2501800,Agawam,Massachusetts,Feeding Hills,(413)821-0548,78100,.,Regular local school district,3747,627,187,8,14,201,93,0,318,Yes,K-1,Yes,PreK students and grades 2-12,,,,,https://www.agawamed.org/article/345193,,,,,,,,,,171,3,4,4,8,3,7,8,8,15,23,74,4,646,20,4,295.42,0,28855,4076,469,0.115064,0.141258
2018,2501890,Amherst,Massachusetts,Amherst,(413)362-1810,78100,.,Regular local school district,1131,240,173,4,9,106,0,0,120,,,,,Yes,Yes,K-1,,,,,,,,,,,,94,1,3,0,3,3,2,4,7,7,8,27,3,282,13,3.5,141.98,0,38607,1295,144,0.111197,0.033543
2018,2501920,Amherst-Pelham,Massachusetts,Amherst,(413)362-1810,78100,.,Regular local school district,1340,300,83,0,0,42,70,0,113,,,,,Yes,Yes,K-1,,,,,,,,,,,,78,0,2,6,8,2,1,4,9,12,13,19,0,265,15,0.4,127.56,0,43554,1668,137,0.082134,0.038297
2018,2502430,Belchertown,Massachusetts,Belchertown,(413)323-0423,78100,.,Regular local school district,2267,444,20,1,8,105,47,0,163,Yes,K-6,,,,,,,,,,,,,,,,,60,0,7,1,8,3,1,11,8,10,15,25,2,308,19,2,115.4,0,14954,2553,132,0.051704,0.170724
2018,2502530,Berkshire Hills,Massachusetts,Stockbridge,(413)298-4017,Not applicable,.,Regular local school district,1203,233,39,2,6,58,43,0,110,No,,,,Yes,,,,,,,,,,,,,,56,1,1,3,4,2,4,5,5,7,8,18,2,223,11,2,95.85,0,9957,1256,99,0.078822,0.126142
2018,2503390,Central Berkshire,Massachusetts,Dalton,(413)684-0320,76600,.,Regular local school district,1579,258,4,3,5,70,42,0,121,Yes,K-12,,,,,,,,,,,,,,,,,52,1,1,3,4,0,2,5,4,7,8,21,1,229,10,1.5,91.35,0,13250,1872,224,0.119658,0.141283
2018,2500014,Chesterfield-Goshen,Massachusetts,Chesterfield,(413)527-7200,78100,.,Regular local school district,129,37,,1,1,10,0,0,12,,,Yes,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,1,0,3,0,28,0,0.8,13.78,0,2325,155,5,0.032258,0.066667
2018,2503660,Chicopee,Massachusetts,Chicopee,(413)594-3410,78100,.,Regular local school district,7392,1395,442,12,27,341,195,0,575,Yes,,Yes,,,Yes,,,https://drive.google.com/file/d/1e004clDf3UuvgsW3UpNZ2SI4oFGT3tRc/view,,,,,,,,,,257,5,15,11,26,2,7,18,27,40,60,93,18,1131,50,18,460.63,0,56117,7693,1770,0.230079,0.137089
2018,2503720,Clarksburg,Massachusetts,Clarksburg,(413)664-8735,76150,.,Regular local school district,185,45,,0,1,15,0,0,16,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,0,0,1,1,2,1,32,0,1,13.99,0,1643,164,14,0.085366,0.099817
2018,2503900,Conway,Massachusetts,South Deerfield,(413)665-1155,78100,.,Regular local school district,135,22,,1,1,10,0,0,12,,,,,,,,,,,,,,,,,,,16,0,0,0,0,1,0,0,1,1,1,4,0,39,2,0.2,24.55,0,1889,135,6,0.044444,0.071466
2018,2504080,Deerfield,Massachusetts,South Deerfield,(413)665-1155,78100,.,Regular local school district,392,81,4,3,3,30,0,0,37,,,Yes,,,,,,,,,,,,,,,,32,0,0,0,0,1,0,0,1,3,3,6,0,87,2,0.2,47.93,0,5092,396,24,0.060606,0.077769
2018,2504500,East Longmeadow,Massachusetts,East Longmeadow,(413)525-5450,78100,.,Regular local school district,2624,508,52,2,9,124,51,0,187,,,,,,,,,,,,,,,,,,,91,1,6,4,10,2,1,3,7,10,16,28,6,364,11,6.5,149.49,0,15998,2664,207,0.077703,0.166521
2018,2504590,Easthampton,Massachusetts,Easthampton,(413)529-1500,78100,.,Regular local school district,1545,323,45,4,5,72,33,0,115,Yes,,,,,,,,,,,,,,,,,,60,1,1,2,3,1,0,3,7,9,8,11,1,223,12,1.4,91.38,0,16383,1863,152,0.081589,0.113715
2018,2504710,Erving,Massachusetts,Erving,(413)423-3337,73300,.,Regular local school district,128,24,3,2,1,11,0,0,16,Yes (morning only),,,,,,,,,,,,,,,,,,14,0,0,0,0,1,0,1,1,1,2,4,0,42,2,0.5,23.58,0,1789,157,19,0.121019,0.087759
